Timestamp,Title ,Publication_year,"DOI 
Starting with 10. Leave empty if no DOI available.","Study_first_author 
",Exclusion_reason,Comment for exclusion reason,Study_type,Comment for study type,Disease_genera_1,Disease_genera,Disease_type,Time_collection,Taxa_count,Study_location,Study_location_reef_area,Sites_sampled,Environmental_parameters,Comment for other parameters recorded ,Sample_types,Comment on types of samples ,Other_methods,Comment on other methods utilised,Biological_replicates,Technical_replicates,Sections_per_fragment,Are the methods for histological analysis stated? ,Citation for methods,Fixative,Enrobed,Decalcification,Embedded,Slice_size,Stain,Comment ,Imaging,Focus,Comment on focus of histological analysis,Data_type,Data_type_2,"If quantitative or semi-quantitative, what/how were things measured?",Quantiative,"If semi-quantitative, how many levels of scoring were applied? (e.g. 5)",Examined,"If the paper provides definitions (i.e. visual descriptions) of the above terms, specify here). Seperate definitions by ;. E.g. Necrosis = xxxxx; ",Comment (specifics associated with each of the above). ,What was the main finding of this paper?
2/3/2023 10:21,Gross and Microscopic Lesions in Corals from Micronesia,2016,10.1177/0300985815571669,Work,NA - study included for data extraction,,Field,Survey done in field and samples taken for histology.,"Acropora, Lesion;Porites, Lesion;Montipora, Lesion","Acropora, lesion; NA;Porites, lesion; NA;Montipora, lesion; NA",Lesion,NA,3,Federated States of Micronesia,Central-Pacific,Yap; Woleai; Olimarao; Nukuruo; Pohnpei; Kosrae; Kapingamarangi,No measurements,,"Non-diseased from a diseased,Diseased (lesion border)","Fragments with lesions were collected ensuring inclusion of the border between normal and lesional tissues. When available, paired grossly normal fragments were also collected. ",Ecological surveys,"In the survey, lesions were photographed and classified into tissue loss, discolouration, bleaching or growth anomalies. Tissue loss was further classified into subacute, acute and chronic. ","Unclear, various per disease and taxa.",1,,Yes,,Z-fix,NA,Formic acid/formaldehyde,Paraffin,5,"Hemotoxylin and eosin, Grocotts methenamine silver, Gram stains",Grocotts methenamine silver used for fungi and Gram stains used for bacteria.,Light microscope,"Disease-causing agent,Tissue condition","Microscopic changes were broadly categorized by agent associated with cell pathology, if present, and host response.","Qualitative,Quantitative","Qualitative, Quantitative (proportion of samples)",Made observations into percentage of sample showing a certain train (eg. 70% of samples containing algae were associated with fragmentation),NA,,"Tissue fragmentation,Wound repair,Necrosis,Swelling and/or lysis of host cells,Endosymbiont abundance,Associated organisms (bacteria),Associated organisms (fungi),Associated organisms (helminths),Associated organisms (sponge),Associated organisms (algae),Associated organisms (crustacea),Hyperplasia","Sponges = metazoa with a matrix containing spicules, choanocytes, and presence or absence of zooxanthellae; 
Cnidaria = metazoa with nematocysts; 
Helminths = vermiform metazoa with or without a gut; 
Algae = metazoa with cell walls; 
Fungi = elongate branching filamentous structures with or without septa; 
Crustacea = metazoa with gut, muscle, reserve inclusion cells, cuticle, hepatopancreas, and segmented appendage. 

Tissue fragmentation = variably sized clumps of intact cells near the main intact tissue section; 
Suspect wound repair = regeneration of epidermis on exposed mesoglea of basal body wall or epidermal metaplasia of exposed calicodermis; 
Hyperplasia of basal body wall = widespread proliferation of gastrodermis, mesoglea, and calicodermis of basal body wall with reduced formation or absence of mesenterial filaments and lack of polyp structures such as actinopharynx or tentacles; 
Necrosis = cells manifesting cytoplasmic hypereosinophilia or shrinkage associated with pyknosis or karyorrhexis; 
Inflammation = infiltrates of tissues with larger-than-normal amounts of mesogleal cells."," Skeletal spaces were differentiated from gastrovascular canals based on cells lining the space; spaces lined by calicodermal cells were classified as decalcified skeleton, whereas those lined by gastrodermis or containing mesenterial filaments were classified as gastrovascular canals. 

Agents were identified according to their microscopic morphology and included sponges or cnidarian, helminths, algae, fungi, or crustacean.

Host response or changes included tissue fragmentation, suspect wound repair, hyperpla- sia of basal body wall, necrosis, or inflammation.

 Finally, we noted the presence/absence of symbiotic cell-associated microbial aggregates in the upper or basal body wall. These are characterized by variably sized cell- associated clusters of symbiotic gram-negative bacteria in the gastrodermis or epidermis with no associated host response.","Of 31 cases of tissue loss, most lesions were subacute (48%), followed by acute and chronic (26% each). 
Host response varied with the agent present on histology. Fragmentation of tissues was most often associated with algae (60%), whereas necrosis dominated (53%) for fungi. "
2/3/2023 10:35,Gross and microscopic pathology of hard and soft corals in New Caledonia,2014,,Work,NA - study included for data extraction,,Field,Survey done in field and samples taken for histology.,"Acanthastrea, Lesion;Acropora, Lesion; Astreopora, Lesion;Coscinaraea, Lesion; Echinopora, Lesion;Favia, Lesion;Favites, Lesion;Fungia, Lesion;Galaxea, Lesion;Goniastrea, Lesion;Isopora, Lesion;Leptoria, Lesion;Lobophytum, Lesion;Merulina, Lesion;Millepora, Lesion;Montastrea, Lesion;Montipora, Lesion;  Pachyseris, Lesion;Pavona, Lesion;Platygrya, Lesion;Pocillopora, Lesion;Porites, Lesion;Sinularia, Lesion; Stylophora, Lesion;Symphyllia, Lesion;Turbinaria,Lesion","Acanthastrea, lesion; 1;Acropora, lesion; 10; Astreopora, lesion; 2;Coscinaraea, lesion; 1; Echinopora, lesion; 1;Favia, lesion; 2;Favites, lesion; 2;Fungia, lesion; 1;Galaxea, lesion; 1;Goniastrea, lesion; 1;Isopora, lesion; 1;Leptoria, lesion; 1;Lobophytum, lesion; 1;Merulina, lesion; 1;Millepora, lesion; 1;Montastrea, lesion; 1;Montipora, lesion; 6;  Pachyseris, lesion; 1;Pavona, lesion; 1;Platygrya, lesion; 1;Pocillopora, lesion; 4;Porites, lesion; 2;Sinularia, lesion; 1 Stylophora, lesion; 1;Symphyllia, lesion; 2;Turbinaria, lesion; 2",Lesion,January–February 2010 and 2013,52,New Caledonia,Central-Pacific,Ilôt Casy; Gué reef; Baie des Citrons; Sèche Croissant reef; Mbere reef; Banc des Japonais; Chenal de Teremba; Passe de Ouaraï;  Kreliat reef; Passe de Koné; Bouerabate reef; Passe de la Gazelle; Neongaon reef; Balade reef ,Depth,,"Non-diseased from a diseased,Diseased (lesion border)","Fragments with lesions were collected ensuring that the border between normal and lesion tissues was incorporated. When available, paired apparently normal fragments were also collected. ",Ecological surveys,"In underwater surveys, lesions were photographed and classified into three broad categories including tissue loss, discoloration, and growth anomaly. Tissue loss was subdivided as acute, subacute, subacute with band characterized by healthy tissue separated from bare skeleton by a colored band, or chronic.","Unclear, various per disease and taxa.",1,,Yes,,Z-fix,NA,Formic acid/formaldehyde,Paraffin,5,Hemotoxylin and eosin,,Light microscope,"Disease-causing agent,Tissue condition","Microscopic changes were interpreted in light of findings from paired normal fragments and broadly categorized by agent associated with cell pathology, if present, and host response.","Qualitative,Quantitative","Qualitative, Quantitative (proportion of samples)",Observations were made into percentages (eg. 45% of fungal infections were associated with depleted zooxanthellae).,NA,,"Tissue fragmentation,Wound repair,Necrosis,Swelling and/or lysis of host cells,Associated organisms (bacteria),Associated organisms (ciliates),Associated organisms (fungi),Associated organisms (helminths),Associated organisms (sponge),Associated organisms (mollusc),Associated organisms (algae),Associated organisms (crustacea),Hyperplasia",,"Agents were identified according to their microscopic morphology and included sponges or cnidaria, helminths, ciliates, algae, fungi, cyanobacteria, and molluscs or crustacea.

Sulfur granule-containing bacteria were differentiated from larger cyanobacteria based on morphology, size and presence of characteristic granules on phase contrast microscopy.

Host response or changes broadly followed those outlined elsewhere (Work et al., 2012) and included tissue fragmentation, suspect wound repair, hyperplasia of basal body wall, necrosis, and inflammation.

Microscopic changes were not mutually exclusive, and in such cases, the most severe change took priority when assigning categories","Tissue loss was the most common gross lesion sampled (40%). For acute and subacute tissue loss, no one type of microscopic finding predominated; however, half of chronic tissue loss cases had fungi, and all subacute tissue loss with banding had evidence of Cyanobacteria infections. "
2/3/2023 12:31,Gross and microscopic pathology of lesions in Pocillopora spp. from the subtropical eastern Pacific,2014,,Rodríguez-Villalobos,NA - study included for data extraction,,Field,Survey in field and samples collected for histology.,"Pocillopora, Lesion","Pocillopora, tissue loss lesions; 7",Lesion,Between November 2010 and September 2011,7,Mexican Pacific,Tropical Eastern Pacific,Isla Isabel; Isla Marieta; Manzanillo; Bahías de Huatulco,"Temperature,Depth,Other (specify below)",Salinity,"Non-diseased (healthy),Non-diseased from a diseased,Diseased (lesion)",Coral fragments were taken directly from lesions and healthy regions of affected colonies as well as from non-affected colonies.,Ecological surveys,"The underwater survey identified coral to species, photographed lesions and described lesions according to their distribution, location on the colony, margins, shape, and colour. Lesions were classified as discolouration, tissue loss or overgrowth. Tissue loss was then classified into fish bites, snail predation, crab predation or unexplained tissue loss (disease).","15 healthy, 31 lesioned, 22 apparently healthy from lesioned colonies",1,,Yes,,Z-fix,NA,HCl and EDTA,Paraffin,5,"Hemotoxylin and eosin, Trichome, Gram stain",Mallory’s trichrome procedure used to highlight connective tissue and Gram stain for bacteria.,Light microscope,"Disease-causing agent,Tissue condition",,"Qualitative, Quantitative","Qualitative, Quantitative (proportion of samples)","Microscopic morphological changes were described relative to normal tissues from healthy and diseased colonies. Observations (qualitative data) per colony were recorded on histopathology datasheets that included the history of the sample and a full histopathological description according to Galloway et al. (2007). 

Changes such as atrophy, sloughing of epithelia from mesoglea, calicodermal hypertrophy, zooxanthellae depletion, presence of bacterial aggregates and suspect endolithic algae or fungi were also recorded on the datasheets (quantitative data) to relate gross and microscopic pathology findings.",NA,,"Endosymbiont abundance,Associated organisms (bacteria),Associated organisms (fungi),Atrophy,Sloughing of epithelia from mesoglea,Hypertrophy",,,"The remnant tissue in samples from colonies with tissue loss generally had uniform atrophy of epidermis and gastro- dermis (40%) with the epidermis most often affected. 
Tissues from healthy colonies, normal, and lesion tissues from P. verrucosa, P. damicornis, P. capitata, and P. inflata, all had basophilic aggregates of bacteria located between the epidermis and the mesoglea"
2/3/2023 12:45,"Histological observations in the Hawaiian reef coral, Porites compressa, affected by Porites bleaching with tissue loss",2012,,Sudek,NA - study included for data extraction,,Field,Samples collected for histology,"Porites, Bleaching with Tissue Loss","Porites, Porites bleaching with tissue loss; 1",Bleaching with tissue loss,2010,1,United States of America,Central-Pacific,Hawaii,No measurements,,"Non-diseased (healthy),Diseased (lesion)",,Host physiology;Endosymbiont physiology,"Host physiology - Samples were cut in half with a razor blade following decalcification and measurements of tissue thickness were taken from the tips and the sides of the coral fragment.

Other endosymbiont physiology- A 2cm diameter core was removed from each sample and homogenised in seawater,. Algae cells were counted on a haemocytometer.","36 diseased, 27 healthy controls",1,,Yes,,Z-fix,NA,HCl and EDTA,Paraffin,6,Hemotoxylin and eosin,,Light microscope,"Disease-causing agent,Tissue condition",Tissue condition was classified and associated organisms was noted.,"Qualitative, Quantitative","Qualitative, Quantitative",Percentage of presence (eg. 39% of affected samples showed ablation with algal cover). Counts of bacterial aggregates.,NA,,"Tissue fragmentation,Necrosis,Endosymbiont abundance,Associated organisms (bacteria)","Necrosis = cytoplasmic hypereosinophilia or fragmentation coupled with nuclear karyorrhexis, karyolysis or pyknosis;

Tissue fragmentation = loss of epidermis and exposure of the basal body wall and mesen- terial filaments","Sections were examined at the microscopic level and lesions classified according to the presence of: (1) necrosis, (2) tissue fragmentation, (3) changes in Symbiodinium and melanin containing granular cell densities and/or morphology, and (4) presence or absence of associated organisms.
We also observed putative bacterial aggregates in the tissues of P. compressa in both healthy and diseased samples","Histopathological investigation showed a loss of symbiont and melanin-containing granular cells which was more pronounced in the coenenchyme than the polyps. Cell counts confirmed a 65% reduction in symbiont density. Tissue loss was due to tissue fragmentation and necrosis in affected areas. In addition, a reduction in putative bacterial aggregate densities was found in diseased samples but no potential pathogens were observed."
2/3/2023 13:38,Intra-colony disease progression induces fragmentation of coral fluorescent pigments,2017,,Caldwell,NA - study included for data extraction,,Experimental (lab),Fragments were collected and taken to the lab where they were inoculated with bacteria pathogens.  ,"Montipora, White Syndrome","Montipora, White Syndrome; 1",WS,,1,United States of America,Central-Pacific,Coconut Island,No measurements,,"Non-diseased (healthy),Diseased (lesion border)","6 healthy fragments and 6 diseased fragments were collected. Diseased fragments were taken at the disease front, so contained diseased and non-diseased from a diseased tissue.",Host physiology;Microbial,"Microbial - laboratory inoculations occurred where diseased colonies were inoculated with bacterial pathogens (virus). 
Host physiology- Fragments were imaged  with confocal microscopy to characterise diversity of natural fluorescent pigments.",6,1,,Yes,,Z-fix,NA,Formic acid/formaldehyde,Paraffin,5,Hemotoxylin and eosin,,Light microscope,Tissue condition,Tissue condition was analysed using Symbiodinium abundance.,Quantitative,Quantitative,Symbiodinium density was measured and each algae along the gastro dermis was counted.,NA,,NA,,"To see if Symbiodinium density varied between health states, Symbiodinium were counted along the contour length of gastrodermis within the surface and basal body walls for all coral fragments. For diseased tissue, Symbiodinium were quantified in the intact tissue directly adjacent to the lesion margin. 
We normalized counts of zooxanthellae by dividing numbers of each of Symbiodinium by contour length (i.e., number of Symbiodinium per unit length of tissue) for each health state and location within the tissue (surface or basal body wall).",Mean Symbiodinium density in visually healthy fragments did not differ from diseased fragments. Symbiont abundance did not change with increasing distance from the lesion margin in diseased corals.
2/3/2023 14:29,Local dynamics of a white syndrome outbreak and changes in the microbial community associated with colonies of the scleractinian brain coral Pseudodiploria strigosa,2021,10.7717/peerj.10695,Thome,NA - study included for data extraction,,Field,,"Pseudodiploria, White Syndrome","Pseudodiploria, White Syndrome; 1",WS,Between August 2017 and August 2018,1,Mexican Caribbean,Western Atlantic,,No measurements,,"Non-diseased (healthy),Diseased (lesion),Non-diseased from a diseased","Six out of the 12 colonies had no visible signs of white syndrome (named healthy), and six colonies showed visible signs of the white syndrome (named unhealthy)",Ecological surveys;Host physiology;Microbial,"Underwater surveys - The underwater survey occurred over a year and measured tissue loss through time using consecutive imaging. They calculated initial prevalence and survival probability initially.

Host physiology - Core samples were taken from unhealthy colonies. Mucus was extracted from the cores and DNA was extracted from the mucus. Leftover mucus was used in antibacterial assays and immunological assays. ",6,1,,Yes,,Paraformaldehyde,NA,HCl and EDTA,Paraffin,5 mm,Hemotoxylin and eosin,,Light microscope,"Disease-causing agent,Tissue condition",,Quantitative,Quantitative (proportion of samples),"Results are shown as the percentage of occurrences, considering six colonies as the total sample size for each condition.",NA,,"Tissue fragmentation,Cellular integrity of host,Endosymbiont abundance,Associated organisms (bacteria),Associated organisms (ciliates),Atrophy,Hypertrophy,Sloughing of epithelia from mesoglea",,"Tissues were divided for histological interpretation into surface body wall (SBW) comprising the coenenchyme and polyp, and the basal body wall (BBW) including mesenterial filaments.

We recorded the observed changes per colony as atrophy, hypertrophy, sloughing of epithelia from mesoglea, zooxanthellae depletion, or malformation. 

The presence of ciliates, bacterial aggregates, and suspect endolithic algae or fungi were also recorded on the datasheets to relate gross and microscopic pathology findings. ","The deterioration of tissues was evidenced from the basal to the surface body wall of polyps (up to 66% hypertrophy and liquefactive necrosis in unhealthy colonies), implying that microscopic alterations begin before macroscopic signals develop, suggesting this may be a systemic disease."
2/3/2023 15:22,Localized bleaching in Hawaii causes tissue loss and a reduction in the number of gametes in Porites compressa,2011,10.1007/s00338-011-0844-1,Sudek,NA - study included for data extraction,,Field,Survey done in field and samples taken for histology.,"Porites, Bleaching with Tissue Loss"," Porites, Porites Bleaching with Tissue Loss; 1",Bleaching with tissue loss,August 2010 and October 2010,1,United States of America,Central-Pacific,Coconut Island,No measurements,,"Non-diseased (healthy),Diseased",22 fragments from healthy colonies and 31 fragments with evidence of localised bleaching were collected.,Ecological surveys,"Underwater survey - All colonies were photographed and the percentages of healthy and affected tissue, as well as dead skeleton, were visually estimated in situ.","22 from healthy, 31 diseased",1,,Yes,,Z-fix,NA,HCl and EDTA,Paraffin,6,Hemotoxylin and eosin,,Light microscope,Reproduction,Determine the sex of the coral and assess the reproductive state of the gametes.,Quantitative,Quantitative,"The number of eggs was recorded within 5 haphazardly selected polyps from each reproductively active diseased and healthy female.
The maximum diameter of each egg within these polyps was measured.","Oocyte number per polyp,Oocyte size",,NA,,"The number of eggs was recorded within 5 haphazardly selected polyps from each reproductively active diseased and healthy female.
The maximum diameter of each egg within these polyps was measured.","This study showed that localized bleaching in P. compressa causes a significant reduction in gamete development in both sexes. Almost 50% of the samples affected by localized bleaching developed no gametes, and all females that had gametes produced fewer and smaller eggs than did healthy colonies. Two female colonies affected by localized bleaching contained only under-developed oocytes with no eggs."
2/3/2023 16:48,"Measuring Stony Coral Tissue Loss Disease Induction and Lesion Progression Within Two Intermediately Susceptible Species, Montastraea cavernosa and Orbicella faveolata",2021,10.3389/fmars.2021.717265,Eaton,NA - study included for data extraction,,Experimental (lab),Samples collected and set up in aquaria for induction tests. ,"Montastraea,SCTL;Orbicella, SCTL","Montastraea, stony coral tissue loss disease; 1;Orbicella, stony coral tissue loss disease; 1",SCTL,"April 23, 2019 and July 23, 2019",2,United States of America,Western Atlantic,Airport Coral Heads,No measurements,,"Non-diseased (healthy),Diseased (lesion)",,Lesion progression;Lesion transmission,Microbial - Healthy and diseased fragments were placed in aquaria and lesion progression rates as well as spreading dynamics were recorded.,"14 healthy, 26 diseased",1,,Yes,,Z-fix,Agarose,EDTA,Paraffin,4,"Hemotoxylin and eosin, Thionin, Periodic Acid Schiff (PAS), Metanil yellow",,Light microscope,"Disease-causing agent,Tissue condition",Focus was not really described but these focuses were briefly mentioned in the results.,Qualitative,Qualitative,,NA,,"Necrosis,Associated organisms (ciliates),Necrosis,Crystalline inclusion bodies ",,No particular mention of what was measured or how it was measured. Just descriptions given now and again in the results. ,"Many isolated AH donor fragments developed tissue-loss lesions during the 60-day study, suggesting SCTLD may be systemic within small-sized colonies. Our results confirmed that physical contact between recipient fragments and subacute SCTLD- lesioned tissue often led to tissue loss in recipient fragments. None of the control recipient or donor fragments experienced tissue loss."
2/6/2023 10:56,Pathology of tissue loss (white syndrome) in Acropora sp. corals from the Central Pacific,2011,,Work,NA - study included for data extraction,,Field,Survey done in field and samples collected for histology.,"Acropora, Lesion","Acropora, tissue loss lesions; 10",Lesion,Between 2002 and 2006,10,United States of America,Central-Pacific,French Frigate Shoals; Johnston Atoll; American Samoa,No measurements,,Diseased (lesion border),Tissues were sampled with a bone shear care- fully ensuring that the border between intact tissue and lesion was included. ,Ecological surveys,"Underwater survey - Corals with lesions were photographed and lesions were categorised based on distribution and type of tissue loss (acute, subacute). Presence of predators directly associated with tissue loss were documented.","Unclear, various per disease and taxa.",1,1-Feb,Yes,,Z-fix,NA,Formic acid/formaldehyde,Paraffin,5,"Hemotoxylin and eosin, Grocott’s methenamine silver",Gram’s and Grocott’s methenamine silver staining procedures were used to identify bacteria and fungi.,Light microscope,"Disease-causing agent,Tissue condition",,Qualitative,Qualitative,,NA,,"Tissue fragmentation,Wound repair,Necrosis,Associated organisms (bacteria),Associated organisms (ciliates),Associated organisms (fungi),Associated organisms (helminths),Associated organisms (sponge),Associated organisms (cyanobacteria),Associated organisms (algae)","Tissue fragmentation =  loss of epidermis and exposure of basal body wall and mesenterial filaments;
Suspect wound repair =  fragmented tissues with evidence of epidermal regeneration;
Necrosis =  cytoplasmic hypereosinophilia or fragmentation associated with nuclear karyolysis, karyorrhexis or pyknosis;
Algae = presence of cell walls;
Sponges = metazoans consisting of connective tissue matrix with spicules and choanocytes;
Cyanobacteria = identified through characteristic trichrome morphology.
","At the microscopic level, host response was classified into three categories: (1) Tissue fragmentation (2) Suspect wound repair and (3) Necrosis.
Any associated algae, sponge or cyanobacteria was documented.","In colonies with tissue loss lesions, the most common host response was suspect wound repair (49%), followed by necrosis (33%), and fragmentation (7%).
More necrosis was seen in corals manifesting acute tissue loss whereas more wound repair was seen in corals manifesting subacute tissue loss.
Of 24 cases with associated organisms, ciliates were most common (30%) followed by algae (25%), helminths (21%), sponges or fungi (12% each) and cyanobacteria (remainder)."
2/6/2023 11:06,Phototrophic microendoliths bloom during coral “white syndrome”,2006,10.1007/s00338-006-0143-4,Fine,NA - study included for data extraction,,Field,Lesion progression was monitored for two months and samples were taken for histology.,"Acropora, White Syndrome","Acropora, White Syndrome; NA",WS,Febuary 2004 to April 2004 ,1,Australia,Indo-West Pacific ,Heron Reef; Wistari Reef,No measurements,,Diseased (lesion),"To visualise the interaction between coral tissues and endolithic communities, coral fragments from the WS lesion area were collected.",Ecological surveys;Endosymbiont physiology,"Underwater surveys - Colonies showing signs of WS were monitored weekly for 2 months using digital photography and lesion progression was calculated.
Photophysiology - PAMF was used to examine photosynthetic efficiency and photo acclimation of endolithic algae.",6,1,,Yes,,Paraformaldehyde,Agarose,EDTA,Paraffin,4,Hemotoxylin and eosin,,Light microscope,Disease-causing agent,To visualise the interaction between coral tissues and endolithic communities.,Qualitative,Qualitative,,NA,,"Associated organisms (bacteria),Associated organisms (fungi),Associated organisms (cyanobacteria),Associated organisms (algae)",,Presence of endoliths was described. ,Histological sections of WS colonies showed extensive endolithic communities in exposed skeletal regions and in close proximity to (but also penetrating) the coral tissues.
2/6/2023 11:28,Reef Sediments Can Act As a Stony Coral Tissue Loss Disease Vector,2022,10.3389/fmars.2021.815698,Studivan,NA - study included for data extraction,,Experimental (lab),Fragments collected and taken to lab for a transmission experiment involving sediment.,"Montastraea, SCTL","Montastraea, stony coral tissue loss disease; 1;Orbicella, healthy; 1",SCTL," August and October, 2020",2,United States of America,Western Atlantic,Fisher Island; Lauderdale-by-the-Sea reef,Depth,,"Non-diseased (healthy),Diseased (lesion)","Corals displaying no tissue loss, paling, or visible signs of stress were sourced.",Lesion progression;Lesion transmission,Microbial - Healthy coral fragments were exposed to sand that had been inoculated with SCTLD in aquaria. Progression and transmission of disease was recorded.,29,1,5,Yes,,Z-fix,NA,HCl and EDTA,Paraffin,,Hemotoxylin and eosin,,Light microscope,Tissue condition,,Quantitative,Quantitative,"In a randomly selected grid of interest (12-cell grid overlaid on each image) 5,000 um), all Symbiodiniaceae and their vacuole areas were measured until 25 symbiont and vacuole areas were captured for each sample. Additionally, the number of symbionts exocytosed from coral gastrodermal cells was counted and the proportion calculated. Finally, when abnormal separation of the gastrodermis from the mesoglea was observed (which indicated tissue degradation), the maximum separation distance was measured. ","Endosymbiont vacuole,Exocytosed endosymbionts,Seperation of mesoglea and gastroderm",,NA,,"In a randomly selected grid of interest, all Symbiodiniaceae and their vacuole areas were measured until 25 symbiont and vacuole areas were captured for each sample. Additionally, the number of symbionts exocytosed from coral gastrodermal cells was counted and the proportion calculated. Finally, when abnormal separation of the gastrodermis from the mesoglea was observed (which indicated tissue degradation), the maximum separation distance was measured. ","SCTLD transmission was observed for both batch and individual diseased sediment inoculation treatments, albeit with lower proportions of infected individuals as compared to disease contact controls. The time to onset of lesions was significantly different between species and among disease treatments, with the most striking infections occurring in the individual diseased sediment treatment in under 24 h.
This study demonstrated that reef sediments can indeed transmit SCTLD through indirect exposure between diseased and healthy corals, and adds credence to the assertion that SCTLD transmission occurs via an infectious agent or agents."
2/6/2023 11:57,Stony Coral Tissue Loss Disease in Florida Is Associated With Disruption of Host–Zooxanthellae Physiology,2020,10.3389/fmars.2020.576013,Landsberg,NA - study included for data extraction,,Field,Samples taken for histology.,"Colpophyllia,  SCTL;Dendrogyra,  SCTL;Diploria,  SCTL;Meandria,  SCTL;Montastraea,  SCTL;Orbicella,  SCTL;Pseudodiploria, SCTL;Siderastrea,  SCTL","Colpophyllia, stony coral tissue loss disease, 1;Dendrogyra, stony coral tissue loss disease, 1;Diploria, stony coral tissue loss disease, 1;Meandrina, stony coral tissue loss disease, 1;Montastraea, stony coral tissue loss disease, 1;Orbicella, stony coral tissue loss disease, 1;Pseudodiploria, stony coral tissue loss disease, 1;Siderastrea, stony coral tissue loss disease, 1",SCTL,April 2017 and June 2018,8,United States of America,Western Atlantic,Martin County; Broward County; Carysfort Reef; Grecian Rocks; Stag Party East; Long Key Ledge; Sombrero reef; West Turtle Shoal; Boot Key Patch; Near Shore Patch; East Turtle Shoal; Dustan Rocks; Bahia Honda; Looe Key; Western Sambo; Key West,No measurements,,"Non-diseased (healthy),Non-diseased from a diseased,Diseased (lesion border)","Apparently health and diseased colonies were sampled. For each diseased colony, one tissue core was collected from an apparently unaffected tissue area, and a second core was taken from the margin between intact tissue and bare skeleton",Ecological surveys,Underwater surveys - Samplers measured colony dimensions and recorded whether colonies were diseased or apparently healthy. Photographs were taken.,"Unclear, various per taxa and sample type",1,1,Yes,,Z-fix,Agarose,EDTA,Paraffin ,4,"Hemotoxylin and eosin, Metanil yellow, Periodic Acid Schiff (PAS), Alcian blue, Brown and Brenn's, Feulgen, Fontana-Masson silver, Grocott’s methenamine silver, May-Grünwald Giemsa, Macchiavello, Methyl green pyronin, Perl’s Prussian blue, Thionin",,"Light microscope, Transmission electron microscope","Disease-causing agent,Tissue condition",,Qualitative,Qualitative,,NA,,"Tissue fragmentation,Necrosis,Cellular integrity of host,Cellular integrity of endosymbiont,Associated organisms (ciliates),Associated organisms (fungi)",,In depth descriptions of tissue condition at different stages of SCTLD progression with supporting figures. ,"The hallmark microscopic lesion seen in all eight species was focal to multifocal lytic necrosis (LN) originating in the gastrodermis of the basal body wall (BBW) and extending to the calicodermis, with more advanced lesions involving the surface body wall. 
This was accompanied by other degenerative changes in host cells such as mucocyte hypertrophy, degradation and fragmentation of gastrodermal architecture, and disintegration of the mesoglea. Zooxanthellae manifested various changes including necrosis (cytoplasmic hypereosinophilia, pyknosis); peripheral nuclear chromatin condensation; cytoplasmic vacuolation accompanied by deformation, swelling, or atrophy; swollen accumulation bodies; prominent pyrenoids; and degraded chloroplasts."
2/6/2023 12:11,The effects of a coral disease on the reproductive output of Montastraea faveolata (Scleractinia: Faviidae),2010,,Borger,NA - study included for data extraction,,Field,Fragments collected just prior to spawning event across 3 years and returned to lab for histology. ,"Montastraea, White Plague","Montastraea, White Plaque; 1",White Plague,"2000, 2001, 2001",1,Dominica,Western Atlantic,Tarou Point; Floral Gardens; Cachacrou,No measurements,,"Non-diseased (healthy),Diseased (lesion), Disease (lesion border)","When a diseased colony was sampled, tissue from an additional, healthy colony  was removed from same relative location on the colony surface as that of the diseased sample as a reference sample.",Histology only,,"Unclear, various per taxa and sample type",1-Feb,4,No (other reference given - specify below),"Glynn, P.W., N.J. Gassman, C.M. Eakin, J. Cortes, D.B. Smith & H.M. Guzman. 1991. Reef coral reproduc- tion in the eastern Pacific: Costa Rica, Panama, and Galapagos Islands (Ecuador).",Helly's fixative,NA,HCl and EDTA,Paraplast,7,Heidenhain's aniline-blue method using Azocarmine G,,Light microscope,Tissue condition,Stages of development and abundance of oocyte and spermaries.,"Quantitative, Qualitative","Quantitative, Qualitative","The number of polyps per cm2, proportion of reproductive polyps vs. non-reproductive polyps, proportion of mesenteries with either oocytes and/or spermaries (within reproductive polyps), number of oocytes in cross section and longitudinal section and volume of oocytes.","Reproductive polyps,Oocyte number per polyp,Oocyte size",,NA,,"The number of polyps per cm2, proportion of reproductive polyps vs. non-reproductive polyps, proportion of mesenteries with either oocytes and/or spermaries (within reproductive polyps), number of oocytes in cross section and longitudinal section and volume of oocytes.","The White Plague had significant negative impacts on the percentage of reproductive polyps per cm2, the percentage of reproductive mesenteries within a polyp, oocyte quantity per polyp, mean oocyte volume (mm3), and fecundity (oocyte volume per cm2 of tissue). 
These effects were only seen in tissue directly impacted by the disease and were not observed in tissue sample 20cm away from lesion. Meaning effects of WP are localised."
